"model.code","state","band.code","value","dset_name","band","model","loss","lr","epoch","exp_id","pretrained","batch_size","metric","weight","thres","date"
"db","ny","band0",0.0569997152361193,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"precision_score","micro",0.5,"2026-05-22"
"db","ny","band0",0.0762841648438523,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"precision_score","weighted",0.5,"2026-05-22"
"db","ny","band0",0.0558193890277717,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"precision_score","samples",0.5,"2026-05-22"
"db","ny","band0",0.428648298401602,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"recall_score","macro",0.5,"2026-05-22"
"db","ny","band0",0.675004632203076,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"recall_score","micro",0.5,"2026-05-22"
"db","ny","band0",0.675004632203076,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"recall_score","weighted",0.5,"2026-05-22"
"db","ny","band0",0.71130723876119,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"recall_score","samples",0.5,"2026-05-22"
"db","ny","band0",0.0639684281660584,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"f1_score","macro",0.5,"2026-05-22"
"db","ny","band0",0.105122522709697,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"f1_score","micro",0.5,"2026-05-22"
"db","ny","band0",0.131103460585738,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"f1_score","weighted",0.5,"2026-05-22"
"db","ny","band0",0.0961245498286218,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"f1_score","samples",0.5,"2026-05-22"
"db","ny","band0",0.035611994416906,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"jaccard_score","macro",0.5,"2026-05-22"
"db","ny","band0",0.0554772136824504,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"jaccard_score","micro",0.5,"2026-05-22"
"db","ny","band0",0.0732025248858656,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"jaccard_score","weighted",0.5,"2026-05-22"
"db","ny","band0",0.0529957734092332,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"jaccard_score","samples",0.5,"2026-05-22"
"db","ny","band0",0.133360907070886,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"label_ranking_average_precision_score","nan",NA,"2026-05-22"
